filename,width,height,class,xmin,ymin,xmax,ymax,
s59006493.jpg,1024,852,pigtail,217,269,315,406,
s55465532.jpg,1024,852,pigtail,362,447,451,586,
s59200694.jpg,972,1024,pigtail,160,548,263,647,
s51390817.jpg,1024,1024,pigtail,233,144,338,256,
s55820038.jpg,1024,880,pigtail,195,341,261,428,
s59474532.jpg,1024,852,pigtail,657,530,764,625,
s56005048.jpg,1024,852,pigtail,246,526,366,587,
s51744449.jpg,1024,850,pigtail,52,676,126,721,
s56181972.jpg,854,1024,pigtail,197,380,288,470,
s51906996.jpg,1024,852,pigtail,554,408,647,520,
s52106864.jpg,852,1024,pigtail,42,646,149,742,
s52282451.jpg,993,1024,pigtail,148,609,265,681,
s52686307.jpg,1024,852,pigtail,399,64,459,139,
s52875153.jpg,826,1024,pigtail,32,580,145,669,
s53023611.jpg,930,1024,pigtail,711,707,817,816,
s53175140.jpg,852,1024,pigtail,184,663,288,764,
s57430689.jpg,852,1024,pigtail,662,629,767,716,
s53379078.jpg,1024,852,pigtail,313,314,416,421,
s53526256.jpg,852,1024,pigtail,79,817,166,894,
s57751257.jpg,1024,852,pigtail,323,392,360,434,
s53686096.jpg,852,1024,pigtail,287,230,366,329,
s57895799.jpg,906,1024,pigtail,147,386,286,510,
s53890711.jpg,852,1024,pigtail,80,398,164,493,
s54206673.jpg,1024,852,pigtail,582,103,684,214,
s54404756.jpg,1024,1024,pigtail,214,413,325,545,
s50113202.jpg,852,1024,pigtail,28,553,128,649,
s58099517.jpg,1024,852,pigtail,153,641,248,742,
s58288058.jpg,852,1024,pigtail,0,459,86,582,
s54778060.jpg,1021,1024,pigtail,345,474,462,595,
s50453614.jpg,897,1024,pigtail,618,657,736,762,
s58492468.jpg,848,1024,pigtail,222,642,302,708,
s54918516.jpg,895,1024,pigtail,706,705,779,776,
s58626184.jpg,1024,852,pigtail,274,494,382,596,
s55093438.jpg,1024,852,pigtail,875,604,987,781,
s55093438.jpg,1024,852,pigtail,196,744,301,852,
s58817596.jpg,852,1024,pigtail,597,568,708,686,
s55288021.jpg,958,1024,pigtail,554,732,655,839,
s51030218.jpg,852,1024,pigtail,160,738,244,825,
s55482015.jpg,852,1024,pigtail,574,591,675,704,
s51246106.jpg,852,1024,pigtail,88,606,154,675,
s59226610.jpg,852,1024,pigtail,694,649,789,762,
s51426207.jpg,852,1024,pigtail,128,482,241,595,
s51426207.jpg,852,1024,pigtail,423,686,533,794,
s59369175.jpg,852,1024,pigtail,45,585,164,684,
s55863830.jpg,852,1024,pigtail,593,395,700,513,
s51600144.jpg,852,1024,pigtail,82,488,193,585,
s59491900.jpg,852,1024,pigtail,354,185,467,306,
s56028329.jpg,1024,879,pigtail,585,243,656,331,
s51762200.jpg,1024,877,pigtail,250,364,355,464,
s59629571.jpg,852,1024,pigtail,65,416,167,525,
s56191185.jpg,915,1024,pigtail,487,551,612,670,
s51913226.jpg,852,1024,pigtail,72,540,180,667,
s59830518.jpg,852,1024,pigtail,252,577,368,696,
s56347147.jpg,910,1024,pigtail,605,419,723,548,
s56347147.jpg,910,1024,pigtail,97,629,218,762,
s52109131.jpg,1024,927,pigtail,145,375,241,464,
s56689753.jpg,852,1024,pigtail,152,501,271,626,
s52507606.jpg,1024,1024,pigtail,720,730,856,857,
s56827467.jpg,901,1024,pigtail,362,253,449,366,
s52694185.jpg,852,1024,pigtail,649,113,758,220,
s56973870.jpg,1024,852,pigtail,708,479,819,583,
s52892576.jpg,1024,852,pigtail,275,452,376,562,
s53027672.jpg,852,1024,pigtail,689,594,809,698,
s57295517.jpg,1024,903,pigtail,600,101,704,209,
s53183966.jpg,915,1024,pigtail,141,817,268,960,
s53381189.jpg,852,1024,pigtail,115,744,213,846,
s57589375.jpg,1024,852,pigtail,794,85,862,145,
s57763812.jpg,1024,852,pigtail,184,459,272,550,
s57910992.jpg,1024,1024,pigtail,120,629,210,745,
s54223595.jpg,852,1024,pigtail,653,418,758,536,
s50136931.jpg,1024,852,pigtail,70,711,177,833,
s54600827.jpg,1024,852,pigtail,143,727,224,813,
